Project,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count.1, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
George River Escapement,1997,08/01,George River,Chinook,4.0,4.0,Counted,Weir
George River Escapement,1997,08/02,George River,Chinook,5.0,5.0,Counted,Weir
George River Escapement,1997,08/03,George River,Chinook,7.0,7.0,Counted,Weir
George River Escapement,1997,08/04,George River,Chinook,4.0,4.0,Counted,Weir
George River Escapement,1997,08/05,George River,Chinook,4.0,4.0,Counted,Weir
George River Escapement,1997,08/06,George River,Chinook,2.0,2.0,Counted,Weir
George River Escapement,1997,08/07,George River,Chinook,3.0,3.0,Counted,Weir
George River Escapement,1997,08/08,George River,Chinook,3.0,3.0,Counted,Weir
George River Escapement,1997,08/09,George River,Chinook,5.0,5.0,Counted,Weir
George River Escapement,1997,08/10,George River,Chinook,1.0,1.0,Counted,Weir
George River Escapement,1997,08/11,George River,Chinook,3.0,3.0,Counted,Weir
George River Escapement,1997,08/12,George River,Chinook,8.0,8.0,Counted,Weir
George River Escapement,1997,08/13,George River,Chinook,5.0,5.0,Counted,Weir
George River Escapement,1997,08/14,George River,Chinook,3.0,3.0,Counted,Weir
George River Escapement,1997,08/15,George River,Chinook,4.0,4.0,Counted,Weir
George River Escapement,1997,08/16,George River,Chinook,8.0,8.0,Counted,Weir
George River Escapement,1997,08/17,George River,Chinook,1.0,1.0,Counted,Weir
George River Escapement,1997,08/18,George River,Chinook,1.0,1.0,Counted,Weir
George River Escapement,1997,08/19,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,08/20,George River,Chinook,3.0,3.0,Counted,Weir
George River Escapement,1997,08/21,George River,Chinook,2.0,2.0,Counted,Weir
George River Escapement,1997,08/22,George River,Chinook,1.0,1.0,Counted,Weir
George River Escapement,1997,08/23,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,08/24,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,08/25,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,08/26,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,08/27,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,08/28,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,08/29,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,08/30,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,08/31,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,09/01,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,09/02,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,09/03,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,09/04,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,09/05,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,09/06,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,09/07,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,09/08,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,09/09,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,09/10,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,09/11,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,09/12,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,09/13,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,09/14,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,09/15,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,1997,09/16,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1997,09/17,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1997,09/18,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1997,09/19,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,1997,09/20,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,2000,06/15,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,2000,06/16,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,2000,06/17,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,2000,06/18,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,06/19,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,06/20,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,06/21,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,06/22,George River,Chinook,2.0,2.0,Counted,Weir
George River Escapement,2000,06/23,George River,Chinook,10.0,10.0,Counted,Weir
George River Escapement,2000,06/24,George River,Chinook,11.0,11.0,Counted,Weir
George River Escapement,2000,06/25,George River,Chinook,5.0,5.0,Counted,Weir
George River Escapement,2000,06/26,George River,Chinook,1.0,1.0,Counted,Weir
George River Escapement,2000,06/27,George River,Chinook,120.0,120.0,Counted,Weir
George River Escapement,2000,06/28,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,06/29,George River,Chinook,8.0,8.0,Counted,Weir
George River Escapement,2000,06/30,George River,Chinook,8.0,8.0,Counted,Weir
George River Escapement,2000,07/01,George River,Chinook,63.0,63.0,Counted,Weir
George River Escapement,2000,07/02,George River,Chinook,416.0,416.0,Counted,Weir
George River Escapement,2000,07/03,George River,Chinook,115.0,115.0,Counted,Weir
George River Escapement,2000,07/04,George River,Chinook,69.0,69.0,Counted,Weir
George River Escapement,2000,07/05,George River,Chinook,48.0,48.0,Counted,Weir
